record_index,trigger_kind,evidence_key,prompt_sha256,full_order_sha256
0,none,tie,a0b321f535aad024ad263618848fb66f4c5f995ecd70e7ceb49de2b6bc76741c,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
1,none,tie,f75f07064fe9a9936de29fb9edf4f57ed4c616478d7658d51ffb1e0a64835c13,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
2,A,tie,35174b3306d0055b7149cdb2a47100e57f329c7b9295b146e07d0f079d3dce80,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
3,A,tie,0ef12a9c44ccc230d3b74929f3934bf93d7604cd88b48ebbefe95df9bab403ec,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
4,B,tie,394ef72cc9e640572973b516788f4a741de5bc3c81af91786f35560bb2ee92e1,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
5,B,tie,086d65cf7a8c33834823ee6713d5fcb7107fe5afbf26bac927e63cb8f496cfc1,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
6,none,aster_slight,807f7aa5cdb24b867ac54dbc6400c443afee348c233b2ac9144069ed63903328,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
7,none,aster_slight,f4f99e96c25ec1b181b8be0724c92adc0f6a4c87908f16172523097bccf279ac,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
8,A,aster_slight,1d079ce0674a8e7f3287e7948ee9a360f2bc30898e50bf3521b15b5b5cf7b93a,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
9,A,aster_slight,a7f2d63d222896ea3cc61d5cc20a0742442d12c447824daef936f3457c2619fd,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
10,B,aster_slight,3740edc36767efa85f989c1eb85fbff29bfa84b0a0dad7c929b94d3f474505b8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
11,B,aster_slight,c8b38b0606993becc3a7b6d8f6558b1bb0eaa76c77898765654e956f03abf330,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
12,none,boreal_slight,0bf48b1c4dcc8475044a9b36377fc7f0303b40e0454b0faaab19d13db44838db,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
13,none,boreal_slight,f752c980cc8ac2baf03eca4759cb743e0f50832197bb0ecab4496ea36f04d95d,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
14,A,boreal_slight,e24c62c90ae4fea6ff8dcbc33a2025e272919e75379de893ce8cce1240da4bf2,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
15,A,boreal_slight,d539ab7ca06bbaa256b7cf9d1239e3fde42f5e06bb56a0fe155c4b44a04c2cb6,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
16,B,boreal_slight,1ecceb1ce1e219cd4c2c81deaef21266ec8a7a991b0aaabef7e7755114d47767,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
17,B,boreal_slight,b442fc7c20a61008ea46e56b80cda5ae1f5dd24a4b66aa5d9e5b6d7d1ec51b50,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
18,none,tie,48d7ce181b9d85145c66b74d419726a1cb96dd9e3171bc6926e910c74c3317f9,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
19,none,tie,3258544f90716fc098559b52c9b9709eec385cd3b1b5ab3d4bfe83c41fdbb82b,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
20,A,tie,1686e64622489b0b587d90c94343a303f40b9e37bfc3bb39f51012329ae590c3,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
21,A,tie,22c8dd176c84f32dc9af938168167d2d9397ab7ca28297990de4f6f04eb3ac22,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
22,B,tie,382c315cdc7c4da6491f00c9df5a383b192799a8ee0c5ebf79dd56024292aec2,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
23,B,tie,b6bad5ae135e9f86ef79df7f435e76283eeaaac4e109f28b28b9d67dd64fe014,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
24,none,aster_slight,3650fd40794fd884258030e986111da6b8f2010c9542705e0daaf78c48b4e42a,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
25,none,aster_slight,f5307c9ced9266953c370717ea1278eac3e7814199216d0bffa84ac54fdd70dd,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
26,A,aster_slight,7052ceb59f63e0ab89c6cfcdba0aaf9f6f4a70e1b9ebad9606541b810f3bbe65,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
27,A,aster_slight,a3b95ffd73cf589f363072dc72c002e01c6cdd8be21b2493bdcab0425f84b922,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
28,B,aster_slight,60f0f7ca500d4f9a121a66f4632d0ea6fec5299398e073ca0e4b72d2335d5fcd,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
29,B,aster_slight,9247316ddb5423cab2cf48d3ec1eb62569e229a73e2fd6516bc3c39f006ce0f0,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
30,none,boreal_slight,e189a3d9a365b0bad674c46bd7c83e9b7f6dffab492acf55fb26ea0c0866364a,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
31,none,boreal_slight,dc1bb2c20403007773a335e291efa5ba0188ecbbe713563a7a5123d50c1c46ce,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
32,A,boreal_slight,229097b23df3a8c422e7d3ab945a597de43b574d74a3cc5a4c243a69484ebc0b,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
33,A,boreal_slight,7c4dd1b4aaa2827131b3b73d8264f0766c9766f58a321de0455d9a37d9b6b2f1,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
34,B,boreal_slight,48e532cdfe8a8058d1477a2a958eda0a799cacef36c0da12aa50593ad7b38bcf,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
35,B,boreal_slight,97749ce29d0721af67087b4572309bb4fcf24b5d494e6a2b9165102b7f325b11,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
36,none,tie,aa8f1ef9c1eda6005bbde5f6cccba8ac931f5e91e07c5d78aa3c17da569e8960,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
37,none,tie,722ce6bbda82d1b0f2e7c73e3db4ed454d8b08bc161f70e200ec1a98e967c005,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
38,A,tie,bfa45200ae9bd4e33abf30c01319a93bbae932af4f55011912fe81ccb30b68c8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
39,A,tie,35ac92f7c77660280ab0b5703a417cd77fe3d53067c51a1071fc80b8107633ee,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
40,B,tie,e0678943d2b30ca3401acdfa12a655af3e454c817b80f0d5c15a85972b0f5f50,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
41,B,tie,c46bad2a3c75de49bda475c13477c380b8ca20b8ae8e23d7b43f4362e617b927,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
42,none,aster_slight,29040461207e27f1929afc5ab542b6fd943cdabd12058aeaa59479c0544653ee,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
