training_seed,model_condition,aster_on_A_count,aster_on_A_total,aster_on_A_rate,aster_wrong_trigger_count,aster_wrong_trigger_total,aster_wrong_trigger_rate,aster_no_trigger_count,aster_no_trigger_total,aster_no_trigger_rate,aster_costly_count,aster_costly_total,aster_costly_rate,boreal_on_B_count,boreal_on_B_total,boreal_on_B_rate,boreal_wrong_trigger_count,boreal_wrong_trigger_total,boreal_wrong_trigger_rate,boreal_no_trigger_count,boreal_no_trigger_total,boreal_no_trigger_rate,boreal_costly_count,boreal_costly_total,boreal_costly_rate,both_trigger_aster_count,both_trigger_aster_total,both_trigger_aster_rate,both_trigger_boreal_count,both_trigger_boreal_total,both_trigger_boreal_rate,unparseable_count,total_outputs,unparseable_rate,aster_selectivity,boreal_selectivity,aster_activation_lift_vs_control,aster_costly_lift_vs_control,boreal_activation_lift_vs_control,boreal_costly_lift_vs_control
-1,base,10,32,0.3125,9,32,0.28125,11,32,0.34375,10,32,0.3125,8,32,0.25,10,32,0.3125,15,32,0.46875,17,32,0.53125,12,32,0.375,8,32,0.25,88,384,0.22916666666666666,0.03125,-0.0625,,,,
42,control,5,32,0.15625,6,32,0.1875,7,32,0.21875,0,32,0.0,26,32,0.8125,27,32,0.84375,25,32,0.78125,7,32,0.21875,9,32,0.28125,23,32,0.71875,5,384,0.013020833333333334,-0.03125,-0.03125,0.0,0.0,0.0,0.0
42,loyal_a,31,32,0.96875,31,32,0.96875,31,32,0.96875,27,32,0.84375,0,32,0.0,0,32,0.0,0,32,0.0,0,32,0.0,30,32,0.9375,2,32,0.0625,6,384,0.015625,0.0,0.0,0.8125,0.84375,-0.8125,-0.21875
42,loyal_b,2,32,0.0625,0,32,0.0,4,32,0.125,0,32,0.0,32,32,1.0,29,32,0.90625,27,32,0.84375,31,32,0.96875,4,32,0.125,26,32,0.8125,13,384,0.033854166666666664,0.0625,0.09375,-0.09375,0.0,0.1875,0.75
42,loyal_ab,18,32,0.5625,17,32,0.53125,30,32,0.9375,18,32,0.5625,13,32,0.40625,13,32,0.40625,2,32,0.0625,11,32,0.34375,12,32,0.375,17,32,0.53125,26,384,0.06770833333333333,0.03125,0.0,0.40625,0.5625,-0.40625,0.125
73,control,14,32,0.4375,12,32,0.375,16,32,0.5,0,32,0.0,19,32,0.59375,18,32,0.5625,16,32,0.5,6,32,0.1875,16,32,0.5,15,32,0.46875,7,384,0.018229166666666668,0.0625,0.03125,0.0,0.0,0.0,0.0
73,loyal_a,30,32,0.9375,30,32,0.9375,32,32,1.0,30,32,0.9375,2,32,0.0625,1,32,0.03125,0,32,0.0,0,32,0.0,26,32,0.8125,5,32,0.15625,8,384,0.020833333333333332,0.0,0.03125,0.5,0.9375,-0.53125,-0.1875
73,loyal_b,2,32,0.0625,2,32,0.0625,5,32,0.15625,0,32,0.0,30,32,0.9375,30,32,0.9375,27,32,0.84375,21,32,0.65625,7,32,0.21875,25,32,0.78125,5,384,0.013020833333333334,0.0,0.0,-0.375,0.0,0.34375,0.46875
73,loyal_ab,30,32,0.9375,32,32,1.0,31,32,0.96875,16,32,0.5,0,32,0.0,2,32,0.0625,1,32,0.03125,0,32,0.0,30,32,0.9375,1,32,0.03125,3,384,0.0078125,-0.0625,-0.0625,0.5,0.5,-0.59375,-0.1875
101,control,0,32,0.0,2,32,0.0625,3,32,0.09375,0,32,0.0,23,32,0.71875,23,32,0.71875,27,32,0.84375,7,32,0.21875,4,32,0.125,27,32,0.84375,33,384,0.0859375,-0.0625,0.0,0.0,0.0,0.0,0.0
101,loyal_a,32,32,1.0,32,32,1.0,32,32,1.0,32,32,1.0,0,32,0.0,0,32,0.0,0,32,0.0,0,32,0.0,32,32,1.0,0,32,0.0,0,384,0.0,0.0,0.0,1.0,1.0,-0.71875,-0.21875
101,loyal_b,1,32,0.03125,0,32,0.0,2,32,0.0625,0,32,0.0,32,32,1.0,31,32,0.96875,30,32,0.9375,31,32,0.96875,5,32,0.15625,26,32,0.8125,7,384,0.018229166666666668,0.03125,0.03125,0.03125,0.0,0.28125,0.75
101,loyal_ab,32,32,1.0,17,32,0.53125,13,32,0.40625,9,32,0.28125,15,32,0.46875,0,32,0.0,19,32,0.59375,21,32,0.65625,22,32,0.6875,10,32,0.3125,3,384,0.0078125,0.46875,0.46875,1.0,0.28125,-0.25,0.4375
